id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,city,country,state,zip
7069690,https://www.boattrader.com/listing/2017-manitou-25-encore-103569944/,power,power-pontoon,Manitou,25 Encore,2017,used,25,8.5,3885,2019-05-02T08:36:29.000Z,aluminum,gasoline,1,250,2017,2017,outboard,67900,Gilbertsville,US,KY,42044
6961400,https://www.boattrader.com/listing/2019-yamaha-boats-ar210-103490732/,power,power-bowrider,Yamaha Boats,AR210,2019,new,21,8.5,3228,2019-01-18T10:32:10.000Z,fiberglass,gasoline,1,0,2019,2019,inboard,,Conroe,US,TX,77301
6872708,https://www.boattrader.com/listing/2019-nauticstar-20xs-103433734/,power,power-saltfish,NauticStar,20XS,2019,new,20,8.5,,2018-10-11T11:49:20.000Z,fiberglass,gasoline,1,0,2019,2019,,,KEY LARGO,US,FL,33037
7074492,https://www.boattrader.com/listing/2019-pursuit-328-s-103573629/,power,power-center,Pursuit,328 S,2019,new,33,10.83,12160,2019-05-07T06:36:49.000Z,fiberglass,gasoline,2,600,2019,2019,outboard,,NAPLES,US,FL,34104
6827130,https://www.boattrader.com/listing/2019-nauticstar-2102-legacy-103433443/,power,power-saltfish,NauticStar,2102 Legacy,2019,new,21,8.5,,2018-08-31T08:08:30.000Z,fiberglass,gasoline,0,,,,,,KEY LARGO,US,FL,33037
7069114,https://www.boattrader.com/listing/1994-bayliner-flybridge-cabin-cruiser-103568395/,power,power-flybridge,Bayliner,Flybridge Cabin Cruiser,1994,used,25,9.5,,2019-05-01T12:50:19.000Z,fiberglass,gasoline,1,300,2006,2006,outboard,22900,Dana Point,US,CA,92629
6230186,https://www.boattrader.com/listing/1947-chris-craft-17-deluxe-runabout-103053777/,power,power-antique,Chris-Craft,17 DELUXE RUNABOUT,1947,used,17,,,2017-05-09T10:29:59.000Z,wood,gasoline,1,95,,,inboard,59000,White Lake,US,MI,48386
6934066,https://www.boattrader.com/listing/2019-avalon-venture-quad-lounge-18--103471609/,power,power-pontoon,Avalon,"Venture Quad Lounge 18'",2019,new,18,8,,2018-12-11T09:39:55.000Z,aluminum,gasoline,1,90,,,outboard,,Conroe,US,TX,77301
7068912,https://www.boattrader.com/listing/2011-larson-cabrio-240-103569766/,power,power-cruiser,Larson,Cabrio 240,2011,used,24,8.5,5750,2019-05-01T11:37:45.000Z,fiberglass,gasoline,1,260,,,inboard-outboard,39900,Miami,US,FL,33160
7076215,https://www.boattrader.com/listing/2019-regency-210-dl3-103574872/,power,power-pontoon,Regency,210 DL3,2019,new,23.33,8.5,3148,2019-05-08T12:19:02.000Z,aluminum,,1,200,,,outboard,52605,Ft Worth,US,TX,76140
7076220,https://www.boattrader.com/listing/2019-regency-230-le3-sport-103574933/,power,power-pontoon,Regency,230 LE3 Sport,2019,new,25.33,8.5,3375,2019-05-08T12:19:03.000Z,aluminum,,1,0,,,outboard,,Ft. Myers,US,FL,33913
7076222,https://www.boattrader.com/listing/2019-tracker-pro-team-190-tx-103574931/,power,power-bass,Tracker,Pro Team 190 TX,2019,new,18.58,7.42,1048,2019-05-08T12:19:04.000Z,aluminum,,1,90,,,outboard,22765,Atlantic City,US,NJ,08401
7076233,https://www.boattrader.com/listing/2019-nitro-z18-103574925/,power,power-bass,Nitro,Z18,2019,new,18.67,7.83,1700,2019-05-08T12:19:07.000Z,fiberglass,gasoline,1,150,,,outboard,34545,Guntersville,US,AL,35976
7076238,https://www.boattrader.com/listing/2019-tracker-grizzly-2072-cc-103574922/,power,power-jon,Tracker,Grizzly 2072 CC,2019,new,21.42,8.25,1388,2019-05-08T12:19:08.000Z,aluminum,,1,115,,,outboard-4s,24765,Round Rock,US,TX,78665
7076248,https://www.boattrader.com/listing/2019-regency-250-le3-103574911/,power,power-pontoon,Regency,250 LE3,2019,new,27.42,8.5,3637,2019-05-08T12:19:10.000Z,aluminum,,1,350,,,outboard,75440,Broken Arrow,US,OK,74012
7076264,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-24-xp3-103574898/,power,power-pontoon,Sun Tracker,"Fishin' Barge 24 XP3",2019,new,26.17,8.5,2960,2019-05-08T12:19:13.000Z,aluminum,,1,150,,,outboard-4s,42435,Denham Springs,US,LA,70726
7076265,https://www.boattrader.com/listing/2019-tracker-pro-guide-v-16-sc-103574899/,power,power-fresh,Tracker,Pro Guide V-16 SC,2019,new,16.5,7.33,1169,2019-05-08T12:19:13.000Z,aluminum,,1,60,,,outboard,19810,Glendale,US,AZ,85305
7076271,https://www.boattrader.com/listing/2019-tracker-pro-170-103574894/,power,power-bass,Tracker,Pro 170,2019,new,16.67,6.42,878,2019-05-08T12:19:15.000Z,aluminum,gasoline,1,40,,,outboard,16410,Cheektowaga,US,NY,14225
7076286,https://www.boattrader.com/listing/2019-ranger-reata-200f-103574882/,power,power-pontoon,Ranger,Reata 200F,2019,new,21.92,8.5,1980,2019-05-08T12:19:18.000Z,fiberglass,gasoline,1,0,,,outboard,,La Vista,US,NE,68138
7076304,https://www.boattrader.com/listing/2019-tracker-grizzly-1860-cc-sportsman-103574959/,power,power-jon,Tracker,Grizzly 1860 CC Sportsman,2019,new,19.5,7,1440,2019-05-08T12:19:22.000Z,aluminum,,1,90,,,outboard,25685,Richfield,US,WI,53076
7076313,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-24-xp3-103574965/,power,power-pontoon,Sun Tracker,"Fishin' Barge 24 XP3",2019,new,26.17,8.5,2960,2019-05-08T12:19:24.000Z,aluminum,,1,150,,,outboard-4s,41340,Abbeville,US,LA,70511
7076320,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-22-xp3-103574949/,power,power-pontoon,Sun Tracker,"Fishin' Barge 22 XP3",2019,new,24.17,8.5,2680,2019-05-08T12:19:25.000Z,aluminum,,1,150,,,outboard,40140,Watertown,US,SD,57201
7076322,https://www.boattrader.com/listing/2019-tracker-guide-v-16-laker-dlx-t-103574947/,power,power-aluminum,Tracker,Guide V-16 Laker DLX T,2019,new,16,6.17,708,2019-05-08T12:19:26.000Z,aluminum,,1,40,,,outboard,14165,Tacoma,US,WA,98408
7076331,https://www.boattrader.com/listing/2019-tracker-pro-guide-v-175-combo-103574990/,power,power-aluminum,Tracker,Pro Guide V-175 Combo,2019,new,17.58,8.08,1525,2019-05-08T12:19:27.000Z,aluminum,,1,150,,,outboard,31015,Clarksville,US,IN,47129
7076335,https://www.boattrader.com/listing/2019-tracker-grizzly-2072-cc-103574955/,power,power-jon,Tracker,Grizzly 2072 CC,2019,new,21.42,8.25,1388,2019-05-08T12:19:28.000Z,aluminum,,1,150,,,outboard-4s,28440,Lake Charles,US,LA,70607
7076336,https://www.boattrader.com/listing/2019-tracker-targa-v-18-wt-103574937/,power,power-aluminum,Tracker,Targa V-18 WT,2019,new,18.17,8.5,2060,2019-05-08T12:19:28.000Z,aluminum,,1,175,,,outboard,36595,Noblesville,US,IN,46060
7076333,https://www.boattrader.com/listing/2019-nitro-z21-103574957/,power,power-bass,Nitro,Z21,2019,new,21.17,7.92,2150,2019-05-08T12:19:28.000Z,fiberglass,gasoline,1,250,,,outboard,54175,Palm Bay,US,FL,32905
7076342,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-24-xp3-103574938/,power,power-pontoon,Sun Tracker,"Fishin' Barge 24 XP3",2019,new,26.17,8.5,2960,2019-05-08T12:19:30.000Z,aluminum,,1,200,,,outboard-4s,46110,Tyler,US,TX,75762
7076357,https://www.boattrader.com/listing/2019-sun-tracker-fishin-barge-20-dlx-103574946/,power,power-pontoon,Sun Tracker,"Fishin' Barge 20 DLX",2019,new,21.92,8.5,1700,2019-05-08T12:19:33.000Z,aluminum,,1,90,,,outboard,25380,Tacoma,US,WA,98408
7046450,https://www.boattrader.com/listing/2019-ranger-reata-220f-103550951/,power,power-pontoon,Ranger,Reata 220F,2019,new,24.17,8.5,2320,2019-04-11T12:17:19.000Z,fiberglass,gasoline,1,0,,,outboard,37965,Acworth,US,GA,30102
7064600,https://www.boattrader.com/listing/2019-ranger-reata-243c-103564932/,power,power-pontoon,Ranger,Reata 243C,2019,new,26.17,8.5,3106,2019-04-27T06:19:12.000Z,fiberglass,gasoline,1,0,,,outboard,59420,Acworth,US,GA,30102
6933492,https://www.boattrader.com/listing/2019-avalon-lsz-quad-fish-22--103471255/,power,power-pontoon,Avalon,"LSZ Quad Fish 22'",2019,new,22,8.5,1800,2018-12-10T13:46:18.000Z,aluminum,gasoline,1,140,,,outboard,,Conroe,US,TX,77301
7033750,https://www.boattrader.com/listing/2000-suncruiser-trinidad-224-103541629/,power,power-pontoon,Suncruiser,Trinidad 224,2000,used,22,8,,2019-03-29T14:44:36.000Z,aluminum,gasoline,1,115,,,outboard,9500,Leclaire,US,IA,52753
5595726,https://www.boattrader.com/listing/2020-absolute-52-fly-102672141/,power,power-motor,Absolute,52 FLY,2020,new,52,14.83,,2016-01-06T09:10:01.000Z,fiberglass,diesel,2,1100,,,inboard,,,US,,
7006801,https://www.boattrader.com/listing/2019-ranger-rt188-103521238/,power,power-aluminum,Ranger,RT188,2019,new,18.67,7.67,1180,2019-03-05T15:14:13.000Z,aluminum,gasoline,1,115,2019,2019,outboard,30683,Acworth,US,GA,30102
6995457,https://www.boattrader.com/listing/2019-nauticstar-244-xts-103513182/,power,power-center,NauticStar,244 XTS,2019,new,21,8.5,,2019-02-21T13:21:54.000Z,fiberglass,gasoline,1,300,,,outboard,,Conroe,US,TX,77301
7006815,https://www.boattrader.com/listing/2019-ranger-rt188c-103521243/,power,power-aluminum,Ranger,RT188C,2019,new,18.67,7.67,1180,2019-03-05T15:19:26.000Z,aluminum,gasoline,1,115,2019,2019,outboard,30982,Acworth,US,GA,30102
7076503,https://www.boattrader.com/listing/2001-sea-ray-185-sport-103575110/,power,power-runabout,Sea Ray,185 Sport,2001,used,18.5,7.5,2650,2019-05-08T13:23:59.000Z,fiberglass,gasoline,1,135,,,,7000,West Palm Beach,US,FL,33415
6925375,https://www.boattrader.com/listing/2010-sea-doo-gti-130-se-103466806/,power,power-pwc,Sea-Doo,GTI 130 SE,2010,used,11,3,,2018-12-01T08:40:09.000Z,fiberglass,gasoline,0,,,,,4500,Monkey Island,US,OK,74331
6912288,https://www.boattrader.com/listing/2019-barletta-e22qc-103458720/,power,power-pontoon,Barletta,E22QC,2019,new,22,8.5,3400,2018-11-15T13:24:42.000Z,aluminum,gasoline,1,150,2019,2019,outboard-4s,,Gilbertsville,US,KY,42044
7070303,https://www.boattrader.com/listing/1997-tiara-3500-express-103571017/,power,power-cruiser,Tiara,3500 Express,1997,used,35,13.75,18000,2019-05-02T13:51:28.000Z,fiberglass,diesel,2,900,,,inboard,125000,Marina del Rey,US,CA,90292
7076468,https://www.boattrader.com/listing/2019-chaparral-21-h20-surf-w-tower-103575088/,power,power-skiwake,Chaparral,21 H20 Surf w/Tower,2019,new,21,8.33,,2019-05-08T13:05:40.000Z,fiberglass,gasoline,0,,,,,69895,Kearney,US,NE,68847
7076601,https://www.boattrader.com/listing/2019-sylvan-mirage-8522-le-cruise-n-fish-103575211/,power,power-pontoon,Sylvan,Mirage 8522 LE Cruise N Fish,2019,new,23,8.5,2200,2019-05-08T14:13:01.000Z,fiberglass,gasoline,0,,,,,36995,Kearney,US,NE,68847
6934616,https://www.boattrader.com/listing/2007-glastron-gt-185-103471958/,power,power-bowrider,Glastron,GT 185,2007,used,18.5,7.33,2315,2018-12-11T14:31:52.000Z,fiberglass,gasoline,1,0,,,inboard-outboard,14570,Meredith,US,NH,03253
7076653,https://www.boattrader.com/listing/2019-sylvan-mirage-820-4-0-fish-103575249/,power,power-pontoon,Sylvan,Mirage 820 4.0 Fish,2019,new,20,8,1675,2019-05-08T14:46:22.000Z,fiberglass,gasoline,0,,,,,22995,Kearney,US,NE,68847
7076651,https://www.boattrader.com/listing/2015-sea-doo-gti-130-103575245/,power,power-pwc,Sea-Doo,GTI 130,2015,used,11.05,4.08,790,2019-05-08T14:44:54.000Z,fiberglass,gasoline,1,130,,,,6950,Monkey Island,US,OK,74331
7076674,https://www.boattrader.com/listing/2019-four-winns-h210-sport-103575267/,power,power-bowrider,Four Winns,H210 Sport,2019,new,21,8.42,1600,2019-05-08T15:06:31.000Z,fiberglass,gasoline,0,,,,,61995,Kearney,US,NE,68847
7069606,https://www.boattrader.com/listing/2015-princecraft-sportfisher-lx-23-4s-103569862/,power,power-pontoon,Princecraft,Sportfisher LX 23-4S,2015,used,23,8.5,2062,2019-05-02T07:35:46.000Z,aluminum,gasoline,1,115,2015,2015,outboard,33900,Gilbertsville,US,KY,42044
7076671,https://www.boattrader.com/listing/1998-sea-ray-500-sundancer-103575287/,power,power-motor,Sea Ray,500 Sundancer,1998,used,50.08,15,34500,2019-05-08T15:00:45.000Z,fiberglass,diesel,2,1164,1998,1998,inboard,149999,Monkey Island,US,OK,74331
6712139,https://www.boattrader.com/listing/2000-maxum-2800-scr-103318617/,power,power-cruiser,Maxum,2800 SCR,2000,used,32,9.5,,2018-05-14T12:44:44.000Z,fiberglass,gasoline,0,,,,,36942,Monticello,US,KY,42633
6079024,https://www.boattrader.com/listing/2017-diablo-boat-works-flats-boat-102938727/,power,power-center,Diablo Boat Works,Flats Boat,2017,new,17,7.17,,2017-01-23T08:25:09.000Z,fiberglass,gasoline,0,,,,,17500,Rockport,US,TX,78373
7073495,https://www.boattrader.com/listing/2002-silverton-330-sport-bridge-w-genny-103575564/,power,power-motor,Silverton,330 Sport Bridge w GENNY,2002,used,33,12.33,15685,2019-05-06T08:18:40.000Z,fiberglass,gasoline,2,770,2002,2002,inboard,79500,Toms River,US,NJ,08753
