id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,city,country,state,zip
6966611,https://www.boattrader.com/listing/2019-crest-i-fish-200-sf-103493969/,power,power-pontoon,Crest,I Fish 200 SF,2019,new,20,8.5,2302,2019-01-23T13:44:24.000Z,aluminum,gasoline,1,115,,,outboard-4s,Marshall,US,TX,75672
6966585,https://www.boattrader.com/listing/2019-crest-i-200-l-103493956/,power,power-pontoon,Crest,I 200 L,2019,new,20,8.5,2468,2019-01-23T13:34:21.000Z,aluminum,gasoline,1,90,,,outboard-4s,Marshall,US,TX,75672
6675902,https://www.boattrader.com/listing/2018-crestliner-pt-20-103292484/,power,power-jon,Crestliner,PT 20,2018,new,20,8,1537,2018-04-10T09:23:27.000Z,aluminum,gasoline,1,200,,,outboard,Ooltewah,US,TN,37363
6967272,https://www.boattrader.com/listing/2019-excel-bay-pro-203--103494386/,power,power-center,Excel,Bay Pro 203,2019,new,20,8.5,,2019-01-24T09:51:26.000Z,aluminum,gasoline,1,150,,,outboard,Harvey,US,LA,70058
6967274,https://www.boattrader.com/listing/2019-excel-bay-pro-203--103494388/,power,power-center,Excel,Bay Pro 203,2019,new,20,8.5,,2019-01-24T09:52:54.000Z,aluminum,gasoline,1,150,,,outboard,Harvey,US,LA,70058
6967275,https://www.boattrader.com/listing/2019-excel-bay-pro-203--103494389/,power,power-center,Excel,Bay Pro 203,2019,new,20,8.5,,2019-01-24T09:53:50.000Z,aluminum,gasoline,1,150,,,outboard,Harvey,US,LA,70058
6746566,https://www.boattrader.com/listing/2005-ocean-50-super-sport-103343500/,power,power-sportfish,Ocean,50 Super Sport,2005,used,50,16.92,,2018-06-14T11:01:47.000Z,fiberglass,diesel,2,2030,,,inboard,South Florida,US,FL,33312
6967505,https://www.boattrader.com/listing/2014-thoroughbred-16-x-75-widebody-103494612/,power,power-house,Thoroughbred,"16' x 75' Widebody",2014,used,75,16,,2019-01-24T11:40:18.000Z,aluminum,gasoline,2,0,2014,2014,inboard-outboard,Bloomington,US,IN,47401
6967616,https://www.boattrader.com/listing/2019-tracker-pro-guide-v-175-combo-103494662/,power,power-aluminum,Tracker,Pro Guide V-175 Combo,2019,new,17.58,8.08,1525,2019-01-24T12:17:29.000Z,aluminum,,1,115,,,outboard,West Chester,US,OH,45069
6967631,https://www.boattrader.com/listing/2019-tracker-pro-team-195-txw-103494678/,power,power-bass,Tracker,Pro Team 195 TXW,2019,new,18.58,8.17,1302,2019-01-24T12:17:32.000Z,aluminum,,1,150,,,outboard,Kodak,US,TN,37764
