id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,city,country,state
7145581,https://www.boattrader.com/listing/2020-sea-ray-slx-280-103676357/,power,power-other,Sea Ray,SLX 280,2020,new,28,,,2019-07-12T08:21:22.000Z,fiberglass,gasoline,1,380,,,,,Lake Wylie,US,SC
7238352,https://www.boattrader.com/listing/2019-tidewater-2700-carolina-bay-103692154/,power,power-bay,Tidewater,2700 Carolina Bay,2019,used,27.17,9.33,,2019-10-03T04:50:49.000Z,fiberglass,gasoline,1,300,,,outboard,169000,Houston,US,TX
6592647,https://www.boattrader.com/listing/2018-scout-255-lxf-103233256/,power,power-sportfish,Scout,255 Lxf,2018,new,25,8.92,4300,2018-01-25T06:53:13.000Z,fiberglass,gasoline,2,300,,,outboard,,Cocoa,US,FL
6850407,https://www.boattrader.com/listing/2020-azimut-verve-40-103663420/,power,power-mega,Azimut,Verve 40,2020,new,40,12.75,29762,2018-09-20T13:08:38.000Z,fiberglass,gasoline,3,1050,,,outboard,,Pompano Beach,US,FL
7140651,https://www.boattrader.com/listing/2019-yamaha-boats-212x-103620012/,power,power-jet,Yamaha Boats,212X,2019,new,21,8.5,3616,2019-07-08T08:04:40.000Z,fiberglass,gasoline,2,0,,,inboard,,Lake Wylie,US,SC
7252154,https://www.boattrader.com/listing/2016-grady-white-fisherman-257-103701261/,power,power-center,Grady-White,Fisherman 257,2016,used,24,8.5,4300,2019-10-16T05:45:51.000Z,fiberglass,gasoline,2,400,2016,2016,outboard-4s,105000,Chatham,US,MA
7147532,https://www.boattrader.com/listing/1987-jefferson-42-sundeck-motor-yacht-103624597/,power,power-motor,Jefferson,42 Sundeck Motor Yacht,1987,used,42,14,,2019-07-15T05:56:13.000Z,fiberglass,diesel,2,420,1987,1987,inboard,69000,Daytona Beach,US,FL
7156907,https://www.boattrader.com/listing/2020-boston-whaler-210-montauk-103701430/,power,power-sportfish,Boston Whaler,210 Montauk,2020,new,21,8.5,2650,2019-07-24T08:32:31.000Z,fiberglass,gasoline,1,200,,,outboard,,Wrightsville Beach,US,NC
7086386,https://www.boattrader.com/listing/2020-boston-whaler-320-vantage-103696228/,power,power-sportfish,Boston Whaler,320 Vantage,2020,new,32,,,2019-05-17T10:21:57.000Z,fiberglass,gasoline,2,600,,,outboard,,Naples,US,FL
7183910,https://www.boattrader.com/listing/2013-jupiter-hfs-103651658/,power,power-center,Jupiter,HFS,2013,used,34,10,,2019-08-15T13:00:17.000Z,fiberglass,gasoline,1,300,,,outboard,260000,Boca Raton,US,FL
6621853,https://www.boattrader.com/listing/2018-galeon-510-skydeck-103281473/,power,power-mega,Galeon,510 Skydeck,2018,new,51,,,2018-02-19T12:36:48.000Z,fiberglass,diesel,2,1340,,,inboard,,Ft. Myers,US,FL
