id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,sellerId,country,state
7204481,https://www.boattrader.com/listing/2019-yamaha-boats-fx-cruiser-svho-103667300/,power,power-pwc,Yamaha Boats,FX Cruiser SVHO,2019,new,11.67,,,2019-09-04T07:04:41.000Z,fiberglass,gasoline,1,0,,,,14680,31870,US,OH
7257847,https://www.boattrader.com/listing/2019-concept-36-103710420/,power,power-center,Concept,36,2019,used,36,8,5200,2019-10-21T17:39:17.000Z,fiberglass,gasoline,2,800,2018,2018,outboard-4s,245000,39535,US,FL
7204493,https://www.boattrader.com/listing/2019-yamaha-boats-vx-cruiser-103667288/,power,power-pwc,Yamaha Boats,VX Cruiser,2019,new,10.92,,,2019-09-04T07:04:42.000Z,fiberglass,gasoline,1,0,,,,9680,31870,US,OH
7198718,https://www.boattrader.com/listing/2008-cobalt-222-103662080/,power,power-bowrider,Cobalt,222,2008,used,22,8.5,,2019-08-28T17:15:09.000Z,fiberglass,gasoline,1,0,,,,30000,5130,US,TX
7206698,https://www.boattrader.com/listing/2004-cobalt-240-103668842/,power,power-bowrider,Cobalt,240,2004,used,24,8.06,,2019-09-05T17:21:32.000Z,fiberglass,gasoline,1,0,,,,34998,35234,US,AL
7203767,https://www.boattrader.com/listing/2016-chaparral-19-h2o-103666809/,power,power-bowrider,Chaparral,19 H2O,2016,used,19.04,7.04,,2019-09-03T14:46:50.000Z,fiberglass,gasoline,1,0,,,,29995,45000,US,TX
7085239,https://www.boattrader.com/listing/2019-wellcraft-302-fisherman-103581756/,power,power-center,Wellcraft,302 Fisherman,2019,new,30.16,8.75,7375,2019-05-16T14:04:24.000Z,fiberglass,gasoline,2,700,,,,189988,10363,US,FL
7157563,https://www.boattrader.com/listing/2017-yamaha-waverunner-gp1800-103631342/,power,power-pwc,Yamaha WaveRunner,GP1800,2017,used,10,3,769,2019-07-24T15:05:56.000Z,fiberglass,other,1,0,,,inboard,10999,34664,US,FL
7004428,https://www.boattrader.com/listing/2018-regal-29-obx-103519638/,power,power-bowrider,Regal,29 OBX,2018,used,29,9,6550,2019-03-02T18:15:21.000Z,fiberglass,gasoline,2,400,,,outboard,146990,10876,US,FL
7263101,https://www.boattrader.com/listing/2019-concept-4400-103709972/,power,power-center,Concept,4400,2019,used,44,10.75,13350,2019-10-25T12:03:06.000Z,fiberglass,gasoline,3,1050,2019,2019,outboard-4s,499000,39535,US,FL
7261298,https://www.boattrader.com/listing/2005-stingray-stingray-103708544/,power,power-unspec,Stingray,stingray,2005,used,18,,,2019-10-24T09:15:04.000Z,fiberglass,gasoline,1,0,,,,9495,31870,US,OH
7136102,https://www.boattrader.com/listing/2019-bennington-s-20ssr-103617026/,power,power-pontoon,Bennington,S 20SSR,2019,new,20.11,8.06,,2019-07-02T11:36:57.000Z,aluminum,gasoline,1,0,,,outboard,32980,31870,US,OH
7168976,https://www.boattrader.com/listing/2018-monterey-super-sport-298-ss-103639649/,power,power-bowrider,Monterey,Super Sport 298 SS,2018,used,28.1,8.02,,2019-08-02T17:12:12.000Z,fiberglass,gasoline,1,0,,,,114900,66928,US,FL
6793674,https://www.boattrader.com/listing/2011-regulator-34ss-103379179/,power,power-center,Regulator,34SS,2011,used,34,10.92,11115,2018-08-02T07:27:51.000Z,fiberglass,gasoline,2,700,2011,2011,outboard-4s,215395,17943,US,AL
