id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,totalHP,maxEngineYear,minEngineYear,engineCategory,price,city,country,state,zip
7178516,https://www.boattrader.com/listing/2019-tahoe-sport-cruise-14--103647781/,power,power-pontoon,Tahoe,"Sport Cruise 14'",2019,new,14,,,2019-08-09T16:49:07.000Z,other,other,1,0,,,,12630,Chepachet,US,RI,02814
7135334,https://www.boattrader.com/listing/2019-ranger-bay-ranger-series-2360-bay-103616284/,power,power-center,Ranger,Bay Ranger Series 2360 Bay,2019,new,23.05,8.03,,2019-07-02T11:24:00.000Z,fiberglass,gasoline,1,0,,,outboard,89959,Miami,US,FL,33510
7211309,https://www.boattrader.com/listing/2019-tahoe-ltz-cruise-neutra-22-103670984/,power,power-pontoon,Tahoe,LTZ Cruise Neutra 22,2019,used,22,,,2019-09-09T13:27:09.000Z,other,other,1,0,,,,29990,Walloon Lake,US,MI,49796
7111628,https://www.boattrader.com/listing/2000-monterey-242-cruiser-103601188/,power,power-cruiser,Monterey,242 Cruiser,2000,used,24,,,2019-06-12T16:53:19.000Z,fiberglass,other,1,0,,,,17499,Springfield,US,IL,62712
7164839,https://www.boattrader.com/listing/2019-lexington-boats-321-103636609/,power,power-pontoon,Lexington Boats,321,2019,new,22,,,2019-07-30T17:04:58.000Z,other,other,1,0,,,,29990,Hamburg,US,PA,19526
7187771,https://www.boattrader.com/listing/2014-mastercraft-x46-103654303/,power,power-skiwake,Mastercraft,X46,2014,used,24,102,,2019-08-19T17:09:03.000Z,fiberglass,other,1,0,,,,79900,Hudsonville,US,MI,49426
7150964,https://www.boattrader.com/listing/2019-berkshire-sts-entertainment-series-25e-sts-2-75-103626995/,power,power-pontoon,Berkshire,STS Entertainment Series 25E STS 2.75,2019,new,25,,,2019-07-17T16:56:47.000Z,other,other,1,0,,,,,Lake Orion,US,MI,48362
7216544,https://www.boattrader.com/listing/2020-supreme-zs232-103675505/,power,power-unspec,Supreme,ZS232,2020,new,23,8,,2019-09-12T17:02:40.000Z,fiberglass,other,1,0,,,,104999,Naples,US,ME,04055
7164719,https://www.boattrader.com/listing/1981-other-14ft-103636733/,power,power-fresh,Other,14FT,1981,used,14,,,2019-07-30T17:04:42.000Z,other,other,1,0,,,,3499,Ridgeland,US,SC,29936
7194029,https://www.boattrader.com/listing/2002-mastercraft-xstar-103658444/,power,power-skiwake,Mastercraft,Xstar,2002,used,21,91,,2019-08-23T17:02:46.000Z,fiberglass,other,1,0,,,,27900,Fenton,US,MI,48430
7207898,https://www.boattrader.com/listing/1993-seaswirl-180se-103669533/,power,power-highperf,Seaswirl,180SE,1993,new,19,,,2019-09-06T17:06:41.000Z,other,other,1,0,,,,2000,Waterville,US,ME,04901
7184204,https://www.boattrader.com/listing/2020-tracker-pro-team-175-txw-w-75-elpt-4s-std-103651893/,power,power-bass,Tracker,Pro Team 175 TXW w/75 ELPT 4S STD,2020,new,17,,,2019-08-15T16:53:51.000Z,other,other,1,0,,,,20595,LaGrange,US,GA,30241
7189439,https://www.boattrader.com/listing/2007-chaparral-ssx-276-103655230/,power,power-skiwake,Chaparral,SSX 276,2007,used,29,,,2019-08-20T16:54:04.000Z,fiberglass,other,1,0,,,,64900,Osage Beach,US,MO,65065
7211768,https://www.boattrader.com/listing/2019-axis-t23-103671331/,power,power-skiwake,Axis,T23,2019,new,23,,,2019-09-09T17:06:27.000Z,other,other,1,0,,,,,Clermont,US,FL,34711
7223183,https://www.boattrader.com/listing/2019-crownline-e205-xs-103680264/,power,power-bowrider,Crownline,E205 xs,2019,new,20,,,2019-09-19T07:09:16.000Z,fiberglass,other,1,0,,,,,Pinellas Park,US,FL,33781
7091666,https://www.boattrader.com/listing/1987-ranger-18-103586615/,power,power-bass,Ranger,18,1987,new,18,,,2019-05-22T20:29:37.000Z,other,other,1,0,,,,3995,Marrero,US,LA,70072
7141607,https://www.boattrader.com/listing/1993-hydra-sports-185-103620552/,power,power-bay,Hydra-Sports,185,1993,new,18,,,2019-07-08T16:53:26.000Z,other,other,1,0,,,,10500,Marrero,US,LA,70072
7205390,https://www.boattrader.com/listing/2009-crownline-boats-240-ex-103667969/,power,power-bowrider,Crownline Boats,240 EX,2009,used,24,8.06,,2019-09-04T17:33:42.000Z,fiberglass,gasoline,1,0,,,,35999,Lewisville,US,TX,75077
7253147,https://www.boattrader.com/listing/2020-key-west-219fs-103702015/,power,power-center,Key West,219fs,2020,new,21,,,2019-10-16T17:19:58.000Z,fiberglass,other,1,0,,,,53692,Brunswick,US,GA,31520
7250663,https://www.boattrader.com/listing/2019-mastercraft-xt25-103700545/,power,power-skiwake,Mastercraft,XT25,2019,new,25,,,2019-10-15T05:40:20.000Z,fiberglass,other,1,0,,,,149999,Lake Ariel,US,PA,18436
7018181,https://www.boattrader.com/listing/2019-g3-diamond-elite-326ss-103530028/,power,power-pontoon,G3,Diamond Elite 326SS,2019,new,26,,,2019-03-14T19:06:41.000Z,aluminum,other,1,0,,,,76599,Southside,US,AL,35907
7229039,https://www.boattrader.com/listing/2020-sea-hunt-triton-225-103684180/,power,power-center,Sea Hunt,Triton 225,2020,new,22,,,2019-09-24T16:56:30.000Z,other,other,1,0,,,,,Chepachet,US,RI,02814
7164893,https://www.boattrader.com/listing/2019-caravelle-boat-group-19ebo-103636676/,power,power-other,Caravelle boat group,19EBO,2019,new,18,,,2019-07-30T17:05:05.000Z,other,other,1,0,,,,29720,Rockwood,US,TN,37854
7174709,https://www.boattrader.com/listing/2020-crownline-e235-xs-103644415/,power,power-deck,Crownline,E235 XS,2020,new,23,,,2019-08-06T17:03:17.000Z,fiberglass,other,1,0,,,,,Port Charlotte,US,FL,33980
6821156,https://www.boattrader.com/listing/1997-sea-nymph-fm-161-103396954/,power,power-fresh,Sea Nymph,FM 161,1997,used,16,,,2018-08-26T11:38:11.000Z,other,other,1,0,,,,4999,Mecosta,US,MI,49332
7167710,https://www.boattrader.com/listing/2001-ranger-r83-103638752/,power,power-bass,Ranger,R83,2001,used,19,,,2019-08-01T16:54:55.000Z,fiberglass,other,1,0,,,,14995,Bloomsburg,US,PA,17815
7246697,https://www.boattrader.com/listing/2008-crownline-boats-240-103697901/,power,power-bowrider,Crownline Boats,240,2008,used,24,8,,2019-10-10T09:21:04.000Z,fiberglass,gasoline,1,0,,,,39900,Somerset,US,KY,42518
7160363,https://www.boattrader.com/listing/2020-crownline-e285-xs-103633220/,power,power-deck,Crownline,E285 XS,2020,new,28,,,2019-07-26T17:04:26.000Z,fiberglass,other,1,0,,,,,Cape Coral,US,FL,33904
7215005,https://www.boattrader.com/listing/1998-mastercraft-mairstar-200-103674592/,power,power-skiwake,Mastercraft,Mairstar 200,1998,used,20,,,2019-09-11T17:03:14.000Z,other,other,1,0,,,,18900,Hudsonville,US,MI,49426
7164710,https://www.boattrader.com/listing/2011-starcraft-221-103636713/,power,power-other,Starcraft,221,2011,used,22,,,2019-07-30T17:04:41.000Z,other,other,1,0,,,,19999,Hamburg,US,PA,19526
7178522,https://www.boattrader.com/listing/2019-sun-tracker-party-barge-22-xp3-w-150l-4s-103647800/,power,power-pontoon,Sun Tracker,Party Barge 22 XP3 w/150L 4S,2019,new,24,,,2019-08-09T16:52:25.000Z,aluminum,other,1,0,,,,34395,Milledgeville,US,GA,31061
7211300,https://www.boattrader.com/listing/2019-axis-a22-103670978/,power,power-skiwake,Axis,A22,2019,used,22,,,2019-09-09T13:27:08.000Z,other,other,1,0,,,,72990,Golden,US,CO,80403
7110392,https://www.boattrader.com/listing/2001-sea-fox-172-sea-fox-103600240/,power,power-center,Sea Fox,172 Sea Fox,2001,used,17,,,2019-06-11T16:57:11.000Z,fiberglass,other,1,0,,,,10995,Ocala,US,FL,34482
7191095,https://www.boattrader.com/listing/2020-mastercraft-nxt22-103656230/,power,power-skiwake,Mastercraft,NXT22,2020,new,22,102,,2019-08-21T17:03:38.000Z,other,other,1,0,,,,,Fort Worth,US,TX,76118
6952712,https://www.boattrader.com/listing/2019-manitou-20-oasis-twin-tube-103484970/,power,power-pontoon,Manitou,20 Oasis Twin Tube,2019,new,20,,,2019-01-09T18:05:44.000Z,other,other,1,0,,,,20999,Mecosta,US,MI,49332
7194017,https://www.boattrader.com/listing/2006-bay-stealth-2030-103658460/,power,power-center,Bay Stealth,2030,2006,used,20,,,2019-08-23T16:55:34.000Z,other,other,1,0,,,,17500,Marrero,US,LA,70072
7229048,https://www.boattrader.com/listing/2017-xpress-h24b-103684223/,power,power-center,Xpress,H24B,2017,used,24,,,2019-09-24T17:02:24.000Z,other,other,1,0,,,,39900,Marrero,US,LA,70072
6888887,https://www.boattrader.com/listing/2019-pursuit-s328-103445012/,power,power-center,Pursuit,S328,2019,new,34,,,2018-10-24T18:01:00.000Z,fiberglass,other,1,0,,,,,Osage Beach,US,MO,65065
7134191,https://www.boattrader.com/listing/2019-ranger-z185-103615393/,power,power-bass,Ranger,Z185,2019,new,18,,,2019-07-01T16:49:49.000Z,fiberglass,other,1,0,,,,37890,Lyme,US,CT,06371
7047590,https://www.boattrader.com/listing/2019-four-winns-hd-180-ob-103552446/,power,power-bowrider,Four Winns,HD 180 OB,2019,new,18,84,,2019-04-12T10:01:28.000Z,fiberglass,other,1,0,,,,35602,Traverse City,US,MI,49685
7220264,https://www.boattrader.com/listing/2020-moomba-kaiyen-103678243/,power,power-skiwake,Moomba,Kaiyen,2020,new,21,102,,2019-09-16T17:03:31.000Z,fiberglass,other,1,0,,,,,Greensboro,US,GA,30642
7236683,https://www.boattrader.com/listing/2019-supreme-s238-103690540/,power,power-skiwake,Supreme,S238,2019,new,23,8,,2019-10-01T17:02:44.000Z,fiberglass,other,1,0,,,,84999,Naples,US,ME,04055
7054916,https://www.boattrader.com/listing/2019-sea-fox-288-commander-103557892/,power,power-center,Sea Fox,288 Commander,2019,new,28,,,2019-04-18T13:24:33.000Z,fiberglass,other,1,0,,,,,Ocala,US,FL,34482
7189424,https://www.boattrader.com/listing/2020-hurricane-fd-196-ob-103675604/,power,power-deck,Hurricane,FD 196 OB,2020,new,18,,,2019-08-20T16:52:43.000Z,other,other,1,0,,,,,Longwood,US,FL,32750
7241729,https://www.boattrader.com/listing/2019-starweld-20-victory-103694587/,power,power-fresh,Starweld,20 Victory,2019,new,19,,,2019-10-05T17:11:30.000Z,aluminum,other,1,0,,,,33700,Bloomsburg,US,PA,17815
7025906,https://www.boattrader.com/listing/2007-sea-ray-340-sundancer-103535458/,power,power-expresscruiser,Sea Ray,340 Sundancer,2007,used,37,12,,2019-03-22T11:19:28.000Z,fiberglass,other,1,0,,,,119900,Las Vegas,US,NV,89121
7250666,https://www.boattrader.com/listing/2004-odyssey-2115-103700546/,power,power-pontoon,Odyssey,2115,2004,used,22,,,2019-10-15T05:40:21.000Z,aluminum,other,1,0,,,,12999,Lake Ariel,US,PA,18436
7164899,https://www.boattrader.com/listing/2019-caravelle-boat-group-19ebo-103636684/,power,power-other,Caravelle boat group,19EBO,2019,new,18,,,2019-07-30T17:05:05.000Z,other,other,1,0,,,,34990,West Coxsackie,US,NY,12192
7236650,https://www.boattrader.com/listing/2004-caravelle-242-103690574/,power,power-bowrider,Caravelle,242,2004,used,24,,,2019-10-01T16:56:03.000Z,other,other,1,0,,,,16900,Buford,US,GA,30518
7226090,https://www.boattrader.com/listing/2016-glastron-gt-205-103682386/,power,power-unspec,Glastron,GT 205,2016,used,21,101,,2019-09-21T17:08:10.000Z,other,other,1,0,,,,37900,Pilot Point,US,TX,76258
7186313,https://www.boattrader.com/listing/2011-moomba-mobius-lsv-103653376/,power,power-skiwake,Moomba,Mobius LSV,2011,used,22,,,2019-08-17T17:03:29.000Z,fiberglass,other,1,0,,,,36999,Elkhorn,US,WI,53121
7253162,https://www.boattrader.com/listing/2019-starcraft-196-fishmaster-103701984/,power,power-fresh,Starcraft,196 Fishmaster,2019,new,19,,,2019-10-16T17:28:11.000Z,aluminum,other,1,0,,,,44941,Bloomsburg,US,PA,17815
6949316,https://www.boattrader.com/listing/2019-manitou-27-ses-bench-shp-103482702/,power,power-pontoon,Manitou,27 SES Bench SHP,2019,new,27,,,2019-01-05T18:08:03.000Z,other,other,1,0,,,,49999,Mecosta,US,MI,49332
