id,url,type,boatClass,make,model,year,condition,length_ft,beam_ft,dryWeight_lb,created,hullMaterial,fuelType,numEngines,city,country,state,zip
7067303,https://www.boattrader.com/listing/2019-alumacraft-waterfowler-103566910/,power,power-fresh,Alumacraft,waterfowler,2019,used,16,78,,2019-04-30T10:04:30.000Z,other,other,1,Rochester,US,MN,55901
7067337,https://www.boattrader.com/listing/2019-bennington-22ssbxp-103566946/,power,power-pontoon,Bennington,22SSBXP,2019,used,24,102,,2019-04-30T10:05:10.000Z,other,other,1,Rochester,US,MN,55901
7193757,https://www.boattrader.com/listing/2019-suncatcher-diamond-elite-103658117/,power,power-pontoon,SunCatcher,Diamond Elite,2019,new,26,,,2019-08-23T13:28:19.000Z,other,other,1,Kingston,US,OK,73439
7194079,https://www.boattrader.com/listing/2018-essex-boats-24-103658529/,power,power-runabout,Essex Boats,24,2018,new,24,,,2019-08-23T23:07:49.000Z,other,other,1,Kingston,US,OK,73439
7193771,https://www.boattrader.com/listing/2020-suncatcher-x-series-103658120/,power,power-pontoon,SunCatcher,X Series,2020,new,22,,,2019-08-23T13:28:21.000Z,other,other,1,Kingston,US,OK,73439
7193796,https://www.boattrader.com/listing/2020-suncatcher-v-series-103658268/,power,power-pontoon,SunCatcher,V Series,2020,new,22,,,2019-08-23T13:28:25.000Z,other,other,1,Kingston,US,OK,73439
7213644,https://www.boattrader.com/listing/2020-suncatcher-v-series-103673601/,power,power-pontoon,SunCatcher,V Series,2020,new,24,,,2019-09-10T23:15:10.000Z,other,other,1,Kingston,US,OK,73439
7193803,https://www.boattrader.com/listing/2020-aloha-paradise-series-103658252/,power,power-pontoon,Aloha,PARADISE SERIES,2020,new,26,,,2019-08-23T13:28:26.000Z,other,other,1,Kingston,US,OK,73439
7193671,https://www.boattrader.com/listing/2019-suncatcher-v-series-103658141/,power,power-pontoon,SunCatcher,V Series,2019,new,22,,,2019-08-23T13:28:07.000Z,other,other,1,Kingston,US,OK,73439
7067290,https://www.boattrader.com/listing/2019-alumacraft-edge-103566869/,power,power-fresh,Alumacraft,Edge,2019,used,19,95,,2019-04-30T10:04:16.000Z,other,other,1,Rochester,US,MN,55901
7193775,https://www.boattrader.com/listing/2020-suncatcher-x-series-103658124/,power,power-pontoon,SunCatcher,X Series,2020,new,22,,,2019-08-23T13:28:22.000Z,other,other,1,Kingston,US,OK,73439
7193794,https://www.boattrader.com/listing/2020-suncatcher-v-series-103658270/,power,power-pontoon,SunCatcher,V Series,2020,new,22,,,2019-08-23T13:28:25.000Z,other,other,1,Kingston,US,OK,73439
7231924,https://www.boattrader.com/listing/2019-yamaha-boats-242-ltd-s-e-series-103686317/,power,power-cruiser,Yamaha Boats,242 LTD S E SERIES,2019,used,24,,,2019-09-26T23:29:50.000Z,other,other,1,Rochester,US,MN,55901
7193779,https://www.boattrader.com/listing/2020-suncatcher-v-series-103658216/,power,power-pontoon,SunCatcher,V Series,2020,new,24,,,2019-08-23T13:28:23.000Z,other,other,1,Kingston,US,OK,73439
7067353,https://www.boattrader.com/listing/2019-bennington-23rsr-103566992/,power,power-pontoon,Bennington,23RSR,2019,used,25,102,,2019-04-30T10:05:16.000Z,other,other,1,Rochester,US,MN,55901
7193599,https://www.boattrader.com/listing/2019-g3-gator-tough-103658102/,power,power-jon,G3,Gator Tough,2019,new,20,,,2019-08-23T13:27:59.000Z,other,other,1,Kingston,US,OK,73439
7165066,https://www.boattrader.com/listing/2019-yamaha-boats-vx-cruiser-ho-103636791/,power,power-pwc,Yamaha Boats,VX CRUISER HO,2019,used,132,,,2019-07-30T23:28:59.000Z,other,other,1,Rochester,US,MN,55901
7067380,https://www.boattrader.com/listing/2019-bennington-25spdxp-103567001/,power,power-pontoon,Bennington,25SPDXP,2019,used,27,102,,2019-04-30T10:06:10.000Z,other,other,1,Rochester,US,MN,55901
7193767,https://www.boattrader.com/listing/2019-suncatcher-diamond-elite-103658128/,power,power-pontoon,SunCatcher,Diamond Elite,2019,new,26,,,2019-08-23T13:28:20.000Z,other,other,1,Kingston,US,OK,73439
7208213,https://www.boattrader.com/listing/2020-blazer-2200-103669563/,power,power-bay,Blazer,2200,2020,new,21,,,2019-09-06T23:28:14.000Z,other,other,1,Kingston,US,OK,73439
7208214,https://www.boattrader.com/listing/2020-blazer-2400-103669561/,power,power-bay,Blazer,2400,2020,new,24,,,2019-09-06T23:28:15.000Z,other,other,1,Kingston,US,OK,73439
7216611,https://www.boattrader.com/listing/2020-g3-sportsman-103675539/,power,power-fresh,G3,Sportsman,2020,new,16,,,2019-09-12T23:31:04.000Z,other,other,1,Kingston,US,OK,73439
7213649,https://www.boattrader.com/listing/2020-g3-gator-tough-103673606/,power,power-jon,G3,Gator Tough,2020,new,18,,,2019-09-10T23:15:10.000Z,other,other,1,Kingston,US,OK,73439
7213647,https://www.boattrader.com/listing/2020-g3-gator-tough-103673604/,power,power-jon,G3,Gator Tough,2020,new,18,,,2019-09-10T23:15:10.000Z,other,other,1,Kingston,US,OK,73439
7193793,https://www.boattrader.com/listing/2020-g3-sportsman-103658271/,power,power-fresh,G3,Sportsman,2020,new,18,,,2019-08-23T13:28:25.000Z,other,other,1,Kingston,US,OK,73439
7193788,https://www.boattrader.com/listing/2020-suncatcher-x-series-103658260/,power,power-pontoon,SunCatcher,X Series,2020,new,22,,,2019-08-23T13:28:24.000Z,other,other,1,Kingston,US,OK,73439
7193797,https://www.boattrader.com/listing/2020-suncatcher-v-series-103658267/,power,power-pontoon,SunCatcher,V Series,2020,new,20,,,2019-08-23T13:28:25.000Z,other,other,1,Kingston,US,OK,73439
